GAME_ID,game_date,matchup,view_count,like_count,comment_count,pace_game,points,pct_pts_from_3pt,pct_fga_from_3pt,close_game,totalallstarsplayed,pct_pts_ft_game,pct_pts_fb_game,dunks,threes_more_than_28ft,highlight_plays,mov,avg_value_billions
22000460,2021-02-20,KINGS at BULLS,236544.0,1667.0,308.0,99.0,236.0,0.241525,0.288889,0.0,1,0.13135593220339,0.0720338983050848,12.0,1.0,13.0,8.0,5.125
22000464,2021-02-20,WIZARDS at TRAIL BLAZERS,486474.0,3767.0,919.0,105.5,229.0,0.327511,0.421875,0.0,2,0.174672489082969,0.0960698689956332,5.0,7.0,12.0,7.0,3.95
22000465,2021-02-21,CELTICS at PELICANS,737369.0,5735.0,1139.0,98.26,235.0,0.268085,0.380208,0.0,3,0.221276595744681,0.127659574468085,7.0,1.0,8.0,5.0,4.4
22000466,2021-02-21,THUNDER at CAVALIERS,155735.0,935.0,204.0,97.5,218.0,0.288991,0.386503,1.0,0,0.151376146788991,0.0458715596330275,8.0,1.0,9.0,16.0,3.925
22000467,2021-02-21,PISTONS at MAGIC,155965.0,750.0,137.0,101.0,201.0,0.298507,0.406977,1.0,1,0.213930348258706,0.154228855721393,7.0,0.0,7.0,9.0,3.5
22000468,2021-02-21,76ERS at RAPTORS,444980.0,3226.0,1089.0,95.5,213.0,0.352113,0.427711,0.0,2,0.197183098591549,,11.0,3.0,14.0,7.0,4.7
22000469,2021-02-21,TIMBERWOLVES at KNICKS,263297.0,1607.0,408.0,95.0,202.0,0.326733,0.33125,0.0,1,0.237623762376238,0.099009900990099,4.0,0.0,4.0,4.0,5.375
22000470,2021-02-21,NUGGETS at HAWKS,449031.0,2525.0,305.0,99.0,238.0,0.352941,0.424242,0.0,1,0.168067226890756,0.0714285714285714,11.0,2.0,13.0,8.0,4.25
22000472,2021-02-21,NETS at CLIPPERS,1787964.0,14548.0,3492.0,98.0,220.0,0.354545,0.407821,0.0,3,0.118181818181818,,10.0,4.0,14.0,4.0,5.5
22000471,2021-02-21,KINGS at BUCKS,224872.0,1449.0,255.0,106.0,243.0,0.283951,0.321053,0.0,1,0.181069958847737,0.11522633744856,5.0,5.0,10.0,13.0,4.275
22000474,2021-02-22,BULLS at ROCKETS,289864.0,2248.0,407.0,99.5,220.0,0.381818,0.406417,1.0,1,0.0909090909090909,0.172727272727273,4.0,1.0,5.0,20.0,5.75
22000476,2021-02-22,GRIZZLIES at MAVERICKS,346625.0,2329.0,316.0,101.0,194.0,0.324742,0.413793,0.0,1,0.149484536082474,0.134020618556701,3.0,3.0,6.0,10.0,4.1
22000477,2021-02-22,TRAIL BLAZERS at SUNS,394307.0,2658.0,842.0,95.5,232.0,0.362069,0.393443,1.0,3,0.129310344827586,0.0991379310344828,6.0,2.0,8.0,32.0,4.125
22000475,2021-02-22,HEAT at THUNDER,340169.0,2079.0,325.0,94.5,202.0,0.430693,0.509677,0.0,0,0.183168316831683,0.0198019801980198,7.0,3.0,10.0,14.0,4.3
22000478,2021-02-22,HORNETS at JAZZ,854346.0,6414.0,1079.0,106.0,242.0,0.483471,0.522989,1.0,3,0.128099173553719,0.140495867768595,8.0,0.0,8.0,22.0,3.55
22000479,2021-02-22,WIZARDS at LAKERS,1468702.0,12231.0,5472.0,104.15,251.0,0.286853,0.345,0.0,2,0.139442231075697,0.119521912350598,6.0,2.0,8.0,3.0,5.625
22000481,2021-02-23,PISTONS at MAGIC,168455.0,802.0,167.0,100.0,198.0,0.363636,0.409091,0.0,1,0.131313131313131,0.141414141414141,6.0,1.0,7.0,12.0,3.5
22000480,2021-02-23,HAWKS at CAVALIERS,313015.0,2009.0,431.0,95.0,223.0,0.390135,0.353293,1.0,0,0.143497757847534,,13.0,2.0,15.0,1.0,4.325000000000000
22000482,2021-02-23,KINGS at NETS,927089.0,7361.0,1266.0,101.5,245.0,0.391837,0.403409,1.0,1,0.142857142857143,0.159183673469388,16.0,8.0,24.0,9.0,5.025
22000483,2021-02-23,WARRIORS at KNICKS,1127669.0,11047.0,973.0,100.5,220.0,0.327273,0.360215,0.0,2,0.181818181818182,,14.0,1.0,15.0,8.0,8.45
22000484,2021-02-23,76ERS at RAPTORS,251260.0,1500.0,580.0,98.5,211.0,0.398104,0.433526,0.0,2,0.175355450236967,0.165876777251185,11.0,3.0,14.0,7.0,4.7
22000485,2021-02-23,CELTICS at MAVERICKS,543561.0,5270.0,1187.0,94.5,217.0,0.345622,0.411429,0.0,3,0.119815668202765,0.105990783410138,8.0,2.0,10.0,3.0,5.25
22000486,2021-02-23,TIMBERWOLVES at BUCKS,222716.0,1394.0,258.0,106.0,251.0,0.466135,0.48731,1.0,1,0.0876494023904383,0.107569721115538,12.0,11.0,23.0,27.0,3.675
22000488,2021-02-23,WIZARDS at CLIPPERS,411662.0,2712.0,602.0,100.5,251.0,0.358566,0.318681,0.0,3,0.0756972111553785,0.0956175298804781,11.0,2.0,13.0,19.0,4.825
22000487,2021-02-23,TRAIL BLAZERS at NUGGETS,326219.0,2381.0,327.0,91.5,217.0,0.387097,0.425414,1.0,2,0.124423963133641,0.0737327188940092,,,,5.0,3.925
22000491,2021-02-24,ROCKETS at CAVALIERS,215924.0,1669.0,293.0,95.0,208.0,0.375,0.394286,1.0,0,0.115384615384615,0.110576923076923,6.0,4.0,10.0,16.0,5.025
22000490,2021-02-24,CELTICS at HAWKS,277277.0,1732.0,565.0,96.5,239.0,0.389121,0.405556,0.0,2,0.142259414225941,0.112970711297071,10.0,6.0,16.0,15.0,4.9
22000495,2021-02-24,SPURS at THUNDER,201326.0,1669.0,390.0,99.0,201.0,0.402985,0.394286,1.0,0,0.0995024875621891,0.0646766169154229,4.0,0.0,4.0,3.0,3.6
22000489,2021-02-24,WARRIORS at PACERS,871386.0,8222.0,979.0,106.5,218.0,0.165138,0.335366,1.0,2,0.247706422018349,0.0963302752293578,,,,4.0,6.4
22000494,2021-02-24,PISTONS at PELICANS,268966.0,1668.0,376.0,100.0,246.0,0.280488,0.329609,1.0,1,0.117886178861789,0.158536585365854,,,,10.0,3.375
22000492,2021-02-24,RAPTORS at HEAT,340420.0,2275.0,475.0,92.5,224.0,0.495536,0.532468,1.0,0,0.174107142857143,0.102678571428571,,,,8.0,4.8
22000493,2021-02-24,TIMBERWOLVES at BULLS,302185.0,1854.0,402.0,101.89,259.0,0.254826,0.319797,0.0,1,0.127413127413127,0.0810810810810811,7.0,0.0,7.0,7.0,4.525
